,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,response,response_binary
7487,27,admin.,single,secondary,no,-181,yes,yes,29,may,1.35,4,-1,0,unknown,no,0
7488,46,technician,married,secondary,no,2527,yes,yes,29,may,3.35,3,-1,0,unknown,no,0
7489,32,blue-collar,married,secondary,no,544,no,no,29,may,1.15,3,-1,0,unknown,no,0
7490,47,services,married,secondary,no,795,yes,no,29,may,0.7,3,-1,0,unknown,no,0
7491,56,technician,single,secondary,no,3499,yes,no,29,may,4.13,3,-1,0,unknown,no,0
7492,35,blue-collar,single,secondary,no,1253,no,no,29,may,37.67,2,-1,0,unknown,no,0
7493,58,self-employed,married,tertiary,no,-81,no,no,29,may,0.9,22,-1,0,unknown,no,0
7494,30,blue-collar,single,secondary,no,196,yes,no,29,may,1.52,7,-1,0,unknown,no,0
7495,40,blue-collar,married,secondary,no,1100,yes,no,29,may,11.0,2,-1,0,unknown,no,0
7496,34,blue-collar,married,primary,no,425,yes,no,29,may,3.03,6,-1,0,unknown,no,0
7497,52,blue-collar,married,primary,no,17,yes,no,29,may,0.5,2,-1,0,unknown,no,0
7498,28,services,married,secondary,no,222,yes,no,29,may,1.68,23,-1,0,unknown,no,0
7499,44,services,divorced,secondary,no,496,yes,yes,29,may,0.9,15,-1,0,unknown,no,0
7500,38,management,single,tertiary,no,6836,yes,no,29,may,6.23,4,-1,0,unknown,no,0
7501,30,services,single,tertiary,no,3516,yes,no,29,may,7.45,4,-1,0,unknown,no,0
7502,36,blue-collar,married,primary,yes,-1168,yes,no,29,may,3.6,7,-1,0,unknown,no,0
7503,31,blue-collar,single,primary,no,-502,yes,no,29,may,1.27,4,-1,0,unknown,no,0
7504,42,blue-collar,married,primary,no,163,yes,no,29,may,1.03,6,-1,0,unknown,no,0
7505,51,management,single,tertiary,no,3087,yes,no,29,may,1.43,4,-1,0,unknown,no,0
7506,44,blue-collar,married,secondary,no,3610,yes,no,29,may,0.38,15,-1,0,unknown,no,0
7507,58,blue-collar,married,secondary,no,1298,yes,no,29,may,8.6,4,-1,0,unknown,no,0
7508,32,management,single,tertiary,no,3886,yes,yes,29,may,2.52,7,-1,0,unknown,no,0
7509,44,blue-collar,married,secondary,no,-431,yes,no,29,may,0.87,8,-1,0,unknown,no,0
7510,25,blue-collar,married,primary,no,172,yes,no,29,may,1.58,3,-1,0,unknown,no,0
7511,46,entrepreneur,married,primary,no,171,yes,no,29,may,0.87,3,-1,0,unknown,no,0
7513,46,management,married,tertiary,no,385,yes,no,29,may,0.87,4,-1,0,unknown,no,0
7514,45,services,married,secondary,no,561,yes,no,29,may,5.67,7,-1,0,unknown,no,0
7515,20,student,single,tertiary,no,2764,yes,no,29,may,2.32,2,-1,0,unknown,no,0
7516,26,services,divorced,secondary,no,1600,yes,yes,30,may,4.8,3,-1,0,unknown,no,0
7517,36,technician,married,secondary,no,1345,yes,no,30,may,3.85,3,-1,0,unknown,no,0
7518,44,technician,married,secondary,no,378,yes,no,30,may,3.38,2,-1,0,unknown,no,0
7519,40,blue-collar,married,primary,no,-476,yes,no,30,may,1.75,2,-1,0,unknown,no,0
7521,44,blue-collar,married,secondary,no,2885,yes,no,30,may,1.05,3,-1,0,unknown,no,0
7522,46,blue-collar,married,primary,no,476,yes,no,30,may,5.18,4,-1,0,unknown,no,0
7523,49,admin.,married,secondary,no,2501,yes,no,30,may,0.83,2,-1,0,unknown,no,0
7524,24,student,single,secondary,no,7,yes,no,30,may,1.43,3,-1,0,unknown,no,0
7525,33,blue-collar,married,primary,no,331,yes,no,30,may,2.32,3,-1,0,unknown,no,0
7526,33,services,married,secondary,no,1785,yes,no,30,may,4.78,12,-1,0,unknown,no,0
7527,46,entrepreneur,married,primary,no,1757,yes,no,30,may,6.6,3,-1,0,unknown,no,0
7528,36,blue-collar,married,secondary,no,604,yes,no,30,may,3.92,1,-1,0,unknown,no,0
7529,44,management,married,tertiary,no,1732,yes,no,30,may,0.72,1,-1,0,unknown,no,0
7530,36,management,married,secondary,no,1898,yes,yes,30,may,3.88,1,-1,0,unknown,no,0
7531,40,services,divorced,secondary,no,1959,yes,no,30,may,2.95,1,-1,0,unknown,no,0
7532,37,blue-collar,married,primary,no,949,yes,no,30,may,2.48,1,-1,0,unknown,no,0
7533,37,self-employed,divorced,tertiary,no,601,yes,no,30,may,7.03,1,-1,0,unknown,no,0
7535,40,blue-collar,divorced,primary,no,548,yes,yes,30,may,5.4,1,-1,0,unknown,no,0
7536,38,blue-collar,married,primary,no,563,yes,no,30,may,4.78,1,-1,0,unknown,no,0
7537,55,blue-collar,married,secondary,no,471,yes,no,30,may,0.97,2,-1,0,unknown,no,0
7538,37,technician,married,secondary,no,490,yes,no,30,may,3.77,1,-1,0,unknown,no,0
7539,52,management,married,secondary,no,428,yes,no,30,may,2.55,1,-1,0,unknown,no,0
7540,60,self-employed,married,primary,no,1226,yes,no,30,may,2.52,3,-1,0,unknown,no,0
7541,38,housemaid,married,tertiary,no,5669,yes,no,30,may,0.52,1,-1,0,unknown,no,0
7542,33,management,single,tertiary,no,923,yes,no,30,may,1.97,6,-1,0,unknown,no,0
7543,36,management,single,tertiary,no,7606,yes,no,30,may,15.28,1,-1,0,unknown,yes,1
7544,37,technician,single,secondary,no,864,yes,no,30,may,2.85,1,-1,0,unknown,no,0
7545,26,services,single,secondary,yes,-599,yes,yes,30,may,1.03,3,-1,0,unknown,no,0
7546,38,entrepreneur,single,secondary,no,473,yes,yes,30,may,2.22,4,-1,0,unknown,no,0
7547,50,entrepreneur,married,primary,no,237,yes,yes,30,may,3.07,4,-1,0,unknown,no,0
7548,33,blue-collar,married,secondary,no,-338,yes,no,30,may,1.52,9,-1,0,unknown,no,0
7549,44,unemployed,divorced,primary,no,757,no,no,30,may,8.3,4,-1,0,unknown,no,0
7551,37,technician,single,secondary,no,1255,yes,no,30,may,3.73,2,-1,0,unknown,no,0
7552,25,student,single,secondary,no,1790,no,no,30,may,4.03,3,-1,0,unknown,no,0
7553,34,blue-collar,single,secondary,no,68,yes,no,30,may,3.2,6,-1,0,unknown,no,0
7554,44,services,single,secondary,no,-389,yes,no,30,may,3.45,4,-1,0,unknown,no,0
7555,40,technician,single,secondary,no,5637,yes,no,30,may,9.22,3,-1,0,unknown,yes,1
7556,43,admin.,married,secondary,no,1807,yes,yes,30,may,11.85,1,-1,0,unknown,no,0
7557,35,services,married,secondary,no,0,no,no,30,may,2.45,9,-1,0,unknown,no,0
7558,55,management,divorced,primary,no,3629,yes,no,30,may,1.45,1,-1,0,unknown,no,0
7559,42,management,married,tertiary,no,2440,yes,no,30,may,3.32,2,-1,0,unknown,no,0
7560,55,admin.,single,secondary,no,1854,yes,no,30,may,0.57,2,-1,0,unknown,no,0
7561,30,blue-collar,single,secondary,no,931,yes,no,30,may,1.08,7,-1,0,unknown,no,0
7562,53,management,married,tertiary,no,146,no,no,30,may,2.5,1,-1,0,unknown,no,0
7564,55,technician,divorced,tertiary,no,0,yes,no,30,may,3.9,1,-1,0,unknown,no,0
7565,35,blue-collar,single,primary,no,293,yes,no,30,may,8.68,2,-1,0,unknown,no,0
7566,58,retired,married,secondary,no,987,yes,no,30,may,9.25,1,-1,0,unknown,no,0
7568,42,blue-collar,divorced,secondary,no,685,yes,no,30,may,3.4,4,-1,0,unknown,no,0
7569,38,management,divorced,tertiary,no,4425,yes,no,30,may,2.7,1,-1,0,unknown,no,0
7570,30,blue-collar,married,primary,no,-430,yes,no,30,may,10.8,5,-1,0,unknown,no,0
7571,35,entrepreneur,married,tertiary,no,512,yes,no,30,may,10.98,1,-1,0,unknown,no,0
7572,28,blue-collar,divorced,primary,no,410,yes,no,30,may,14.45,3,-1,0,unknown,no,0
7573,41,self-employed,single,tertiary,no,3950,yes,no,30,may,1.6,2,-1,0,unknown,no,0
7574,43,blue-collar,married,secondary,no,1559,yes,no,30,may,2.05,1,-1,0,unknown,no,0
7575,51,entrepreneur,married,tertiary,no,267,yes,no,30,may,0.93,1,-1,0,unknown,no,0
7576,45,admin.,married,secondary,no,840,yes,no,30,may,0.9,3,-1,0,unknown,no,0
7577,27,blue-collar,married,primary,no,713,yes,no,30,may,2.53,4,-1,0,unknown,no,0
7578,39,blue-collar,married,primary,no,882,yes,no,30,may,0.42,4,-1,0,unknown,no,0
7579,49,blue-collar,married,primary,no,130,no,no,30,may,2.32,2,-1,0,unknown,no,0
7580,32,services,single,secondary,no,1659,yes,no,30,may,2.0,6,-1,0,unknown,no,0
7581,39,self-employed,married,tertiary,no,3246,yes,no,30,may,8.18,1,-1,0,unknown,no,0
7582,43,blue-collar,single,primary,no,30,yes,no,30,may,6.32,17,-1,0,unknown,no,0
7583,40,technician,married,secondary,no,-28,yes,yes,30,may,4.82,2,-1,0,unknown,no,0
7584,35,blue-collar,divorced,secondary,no,52,yes,no,30,may,9.57,1,-1,0,unknown,no,0
7586,26,technician,single,tertiary,no,686,yes,no,30,may,1.63,2,-1,0,unknown,no,0
7587,52,management,divorced,tertiary,no,2909,yes,no,30,may,1.83,1,-1,0,unknown,no,0
7588,50,technician,married,secondary,no,1093,yes,no,30,may,5.32,1,-1,0,unknown,no,0
7589,42,management,married,secondary,no,1607,yes,no,30,may,1.8,1,-1,0,unknown,no,0
7590,38,technician,married,secondary,no,226,yes,no,30,may,12.7,3,-1,0,unknown,yes,1
7591,35,management,married,tertiary,no,-65,yes,no,30,may,1.33,3,-1,0,unknown,no,0
7592,35,management,single,tertiary,no,4,yes,no,30,may,7.48,1,-1,0,unknown,no,0
7593,39,management,married,secondary,no,1034,yes,no,30,may,5.1,1,-1,0,unknown,no,0
7594,32,blue-collar,married,secondary,no,-63,yes,no,30,may,3.3,1,-1,0,unknown,no,0
7595,40,blue-collar,married,secondary,no,737,yes,no,30,may,2.25,2,-1,0,unknown,no,0
7596,42,unemployed,married,secondary,no,8131,yes,no,30,may,1.15,1,-1,0,unknown,no,0
7597,37,services,married,tertiary,no,0,yes,no,30,may,0.92,1,-1,0,unknown,no,0
7598,40,management,married,tertiary,no,0,yes,no,30,may,2.3,1,-1,0,unknown,no,0
7599,46,services,married,secondary,no,1227,yes,yes,30,may,2.25,1,-1,0,unknown,no,0
7600,42,services,married,secondary,no,508,yes,no,30,may,1.17,1,-1,0,unknown,no,0
7601,33,blue-collar,single,secondary,no,-147,yes,no,30,may,10.87,2,-1,0,unknown,no,0
7602,35,admin.,single,tertiary,no,0,no,no,30,may,5.45,1,-1,0,unknown,no,0
7603,55,blue-collar,married,primary,no,828,yes,no,30,may,4.1,1,-1,0,unknown,no,0
7604,43,blue-collar,married,primary,yes,1202,no,no,30,may,4.92,1,-1,0,unknown,no,0
7605,52,technician,married,tertiary,no,1405,yes,yes,30,may,4.25,1,-1,0,unknown,no,0
7606,60,blue-collar,married,secondary,no,2620,yes,no,30,may,8.72,1,-1,0,unknown,no,0
7607,49,technician,single,secondary,no,74,yes,no,30,may,2.17,1,-1,0,unknown,no,0
7608,58,retired,married,secondary,no,1874,no,no,30,may,1.72,5,-1,0,unknown,no,0
7609,29,admin.,married,secondary,no,396,yes,no,30,may,3.42,2,-1,0,unknown,no,0
7610,37,management,married,tertiary,no,569,yes,no,30,may,1.53,1,-1,0,unknown,no,0
7611,36,blue-collar,single,secondary,no,366,yes,yes,30,may,18.88,2,-1,0,unknown,yes,1
7612,37,technician,single,secondary,no,428,yes,no,30,may,1.78,1,-1,0,unknown,no,0
7613,45,housemaid,divorced,primary,no,413,yes,no,30,may,1.08,1,-1,0,unknown,no,0
7614,51,admin.,married,secondary,no,4178,yes,no,30,may,9.27,1,-1,0,unknown,no,0
7615,40,management,married,tertiary,no,2147,yes,no,30,may,1.92,1,-1,0,unknown,no,0
7616,43,blue-collar,married,secondary,no,1096,no,yes,30,may,3.0,1,-1,0,unknown,no,0
7617,41,admin.,single,tertiary,no,1455,yes,no,30,may,1.45,1,-1,0,unknown,no,0
7618,35,technician,single,secondary,no,-54,yes,no,30,may,1.17,2,-1,0,unknown,no,0
7619,54,management,divorced,tertiary,no,129,yes,no,30,may,2.2,1,-1,0,unknown,no,0
7620,36,management,married,tertiary,no,722,yes,no,30,may,5.2,1,-1,0,unknown,no,0
7621,42,management,married,tertiary,no,1767,yes,no,30,may,4.72,1,-1,0,unknown,no,0
7622,29,management,married,tertiary,no,1671,yes,no,30,may,3.03,1,-1,0,unknown,no,0
7623,45,blue-collar,married,secondary,no,130,yes,no,30,may,2.12,1,-1,0,unknown,no,0
7624,37,management,divorced,tertiary,no,241,yes,no,30,may,2.1,1,-1,0,unknown,no,0
7625,36,services,married,secondary,no,-260,yes,no,30,may,1.52,2,-1,0,unknown,no,0
7626,45,blue-collar,married,secondary,no,1964,yes,no,30,may,1.3,1,-1,0,unknown,no,0
7628,50,services,married,secondary,no,992,yes,no,30,may,6.78,1,-1,0,unknown,no,0
7629,38,admin.,divorced,secondary,no,661,yes,no,30,may,2.67,1,-1,0,unknown,no,0
7630,49,admin.,married,secondary,no,-209,no,no,30,may,2.85,1,-1,0,unknown,no,0
7631,59,retired,married,secondary,no,8107,no,no,30,may,3.5,1,-1,0,unknown,no,0
7632,37,management,divorced,secondary,no,16,yes,no,30,may,10.63,1,-1,0,unknown,yes,1
7633,46,management,married,tertiary,no,583,yes,no,30,may,2.25,3,-1,0,unknown,no,0
7634,37,blue-collar,married,secondary,no,-510,yes,no,30,may,7.68,1,-1,0,unknown,no,0
7635,35,management,single,tertiary,no,565,yes,no,30,may,12.72,1,-1,0,unknown,yes,1
7636,48,admin.,divorced,secondary,no,132,yes,no,30,may,2.85,1,-1,0,unknown,no,0
7637,48,technician,married,secondary,yes,0,no,no,30,may,11.37,1,-1,0,unknown,yes,1
7638,28,admin.,married,secondary,no,7707,yes,no,30,may,1.13,2,-1,0,unknown,no,0
7639,38,management,single,tertiary,no,-974,yes,no,30,may,2.0,3,-1,0,unknown,no,0
7640,34,services,married,secondary,no,457,yes,no,30,may,1.12,2,-1,0,unknown,no,0
7641,37,blue-collar,married,secondary,no,421,no,yes,30,may,6.35,2,-1,0,unknown,no,0
7642,41,admin.,divorced,secondary,no,2397,yes,no,30,may,4.63,2,-1,0,unknown,no,0
7643,36,management,single,tertiary,no,1089,yes,no,30,may,2.1,1,-1,0,unknown,no,0
7644,42,technician,married,secondary,no,-350,yes,yes,30,may,2.48,1,-1,0,unknown,no,0
7645,54,technician,divorced,secondary,no,814,yes,no,30,may,1.58,1,-1,0,unknown,no,0
7646,37,management,single,secondary,no,3167,yes,no,30,may,3.28,1,-1,0,unknown,no,0
7647,34,management,married,tertiary,no,362,yes,no,30,may,0.63,3,-1,0,unknown,no,0
7648,32,blue-collar,single,primary,no,315,yes,no,30,may,1.02,2,-1,0,unknown,no,0
7650,27,services,single,secondary,no,437,yes,yes,30,may,4.58,2,-1,0,unknown,no,0
7651,33,blue-collar,married,primary,no,1002,yes,no,30,may,3.35,4,-1,0,unknown,no,0
7652,57,retired,single,tertiary,no,2528,yes,yes,30,may,12.07,1,-1,0,unknown,no,0
7653,29,management,married,tertiary,no,239,yes,no,30,may,2.38,4,-1,0,unknown,no,0
7654,32,services,married,secondary,no,241,no,no,30,may,3.28,3,-1,0,unknown,no,0
7655,51,management,divorced,tertiary,no,986,no,no,30,may,2.38,2,-1,0,unknown,no,0
7656,54,blue-collar,divorced,secondary,no,154,yes,no,30,may,3.28,12,-1,0,unknown,no,0
7657,45,technician,married,secondary,no,3601,yes,no,30,may,8.93,2,-1,0,unknown,no,0
7658,35,management,single,tertiary,no,644,yes,no,30,may,2.0,2,-1,0,unknown,no,0
7659,38,admin.,divorced,secondary,no,19,yes,no,30,may,10.07,2,-1,0,unknown,yes,1
7660,43,admin.,divorced,tertiary,no,1440,yes,yes,30,may,4.23,1,-1,0,unknown,no,0
7661,53,technician,married,secondary,no,2647,yes,no,30,may,2.02,1,-1,0,unknown,no,0
7662,36,blue-collar,married,primary,no,243,yes,yes,30,may,1.97,2,-1,0,unknown,no,0
7663,49,admin.,divorced,secondary,no,169,yes,no,30,may,7.45,1,-1,0,unknown,no,0
7664,39,blue-collar,divorced,secondary,no,160,yes,no,30,may,2.52,2,-1,0,unknown,no,0
7665,58,retired,married,primary,no,590,yes,no,30,may,1.9,2,-1,0,unknown,no,0
7666,40,services,married,primary,no,1082,yes,no,30,may,14.23,2,-1,0,unknown,yes,1
7667,40,management,married,secondary,no,6695,yes,no,30,may,1.92,1,-1,0,unknown,no,0
7668,42,unemployed,divorced,secondary,no,1713,yes,no,30,may,14.25,2,-1,0,unknown,yes,1
7669,44,management,married,tertiary,no,5282,yes,no,30,may,4.57,1,-1,0,unknown,no,0
7670,37,services,married,secondary,no,-5,yes,yes,30,may,0.72,2,-1,0,unknown,no,0
7671,53,technician,divorced,primary,no,7290,yes,no,30,may,2.55,1,-1,0,unknown,no,0
7672,38,technician,married,secondary,no,175,yes,no,30,may,4.4,1,-1,0,unknown,no,0
7673,36,housemaid,married,secondary,no,419,yes,no,30,may,4.18,1,-1,0,unknown,no,0
7675,44,management,divorced,tertiary,no,1379,yes,no,30,may,1.98,1,-1,0,unknown,no,0
7676,32,admin.,married,secondary,no,1974,yes,no,30,may,1.73,3,-1,0,unknown,no,0
7677,50,blue-collar,married,primary,no,1290,yes,no,30,may,1.08,14,-1,0,unknown,no,0
7678,39,technician,single,tertiary,no,4660,no,no,30,may,0.88,2,-1,0,unknown,no,0
7679,55,unemployed,single,primary,no,5,yes,no,30,may,1.05,2,-1,0,unknown,no,0
7680,35,blue-collar,married,primary,no,2205,yes,no,30,may,3.32,3,-1,0,unknown,no,0
7682,36,blue-collar,married,primary,no,287,yes,no,30,may,2.62,3,-1,0,unknown,no,0
7683,32,management,married,tertiary,no,132,yes,no,30,may,9.42,2,-1,0,unknown,no,0
7684,50,technician,married,secondary,no,2062,no,no,30,may,2.75,1,-1,0,unknown,no,0
7685,50,management,married,tertiary,no,1158,yes,no,30,may,2.5,1,-1,0,unknown,no,0
7686,40,management,single,tertiary,no,-199,yes,yes,30,may,1.82,1,-1,0,unknown,no,0
7687,52,blue-collar,married,primary,no,2144,yes,no,30,may,1.0,1,-1,0,unknown,no,0
7688,40,admin.,divorced,secondary,no,-105,yes,no,30,may,6.42,2,-1,0,unknown,no,0
7690,59,retired,married,secondary,no,4414,yes,no,30,may,2.68,1,-1,0,unknown,no,0
7691,51,technician,married,secondary,no,4924,yes,no,30,may,7.47,1,-1,0,unknown,no,0
7692,51,management,married,secondary,no,2632,no,no,30,may,2.28,1,-1,0,unknown,no,0
7693,36,unemployed,single,tertiary,no,577,yes,no,30,may,2.58,1,-1,0,unknown,no,0
7694,40,admin.,married,secondary,no,1597,yes,no,30,may,10.55,1,-1,0,unknown,no,0
7695,37,self-employed,divorced,tertiary,no,1513,no,no,30,may,8.5,1,-1,0,unknown,no,0
7696,51,blue-collar,married,secondary,no,1440,yes,no,30,may,5.15,1,-1,0,unknown,no,0
7697,58,self-employed,married,secondary,no,1407,yes,no,30,may,0.97,1,-1,0,unknown,no,0
7698,39,technician,married,tertiary,no,123,yes,no,30,may,2.12,1,-1,0,unknown,no,0
7699,26,blue-collar,single,secondary,no,2,yes,no,30,may,2.83,4,-1,0,unknown,no,0
7700,41,blue-collar,married,secondary,no,629,yes,yes,30,may,3.47,2,-1,0,unknown,no,0
7701,49,technician,married,primary,no,2343,yes,no,30,may,2.15,2,-1,0,unknown,no,0
7702,41,entrepreneur,married,primary,no,740,yes,no,30,may,2.23,3,-1,0,unknown,no,0
7703,41,blue-collar,married,secondary,no,438,yes,no,30,may,2.15,3,-1,0,unknown,no,0
7704,34,technician,married,secondary,no,650,yes,no,30,may,3.07,2,-1,0,unknown,no,0
7705,49,technician,married,secondary,no,2344,yes,no,30,may,6.18,2,-1,0,unknown,no,0
7706,45,admin.,married,secondary,no,820,yes,no,30,may,2.42,2,-1,0,unknown,no,0
7707,41,services,married,secondary,no,96,yes,no,30,may,2.27,2,-1,0,unknown,no,0
7708,53,management,married,tertiary,no,3911,yes,yes,30,may,1.05,2,-1,0,unknown,no,0
7709,42,blue-collar,married,secondary,no,2441,yes,no,30,may,2.38,1,-1,0,unknown,no,0
7710,51,management,married,tertiary,no,0,yes,no,30,may,2.52,1,-1,0,unknown,no,0
7711,32,blue-collar,married,secondary,no,419,yes,no,30,may,0.93,2,-1,0,unknown,no,0
7712,47,blue-collar,married,primary,no,176,yes,no,30,may,0.58,1,-1,0,unknown,no,0
7713,41,admin.,married,secondary,no,4539,no,no,30,may,4.97,3,-1,0,unknown,no,0
7714,44,technician,single,secondary,no,2403,yes,no,30,may,2.63,1,-1,0,unknown,no,0
7715,35,technician,single,tertiary,no,391,yes,no,30,may,0.78,8,-1,0,unknown,no,0
7716,44,admin.,married,secondary,no,14,no,yes,30,may,13.78,5,-1,0,unknown,no,0
7717,42,entrepreneur,married,tertiary,no,287,yes,yes,30,may,1.38,2,-1,0,unknown,no,0
7718,44,blue-collar,single,primary,no,787,yes,no,30,may,9.5,2,-1,0,unknown,no,0
7719,28,blue-collar,single,primary,no,-232,yes,no,30,may,9.28,2,-1,0,unknown,no,0
7720,32,blue-collar,married,secondary,no,883,yes,yes,30,may,0.98,1,-1,0,unknown,no,0
7721,44,admin.,married,secondary,no,734,yes,no,30,may,0.63,5,-1,0,unknown,no,0
7722,34,blue-collar,married,primary,no,275,yes,no,30,may,2.83,1,-1,0,unknown,no,0
7723,37,technician,married,secondary,no,5115,yes,no,30,may,0.75,4,-1,0,unknown,no,0
7724,60,admin.,married,secondary,no,4120,yes,yes,30,may,7.03,2,-1,0,unknown,no,0
7725,45,services,married,secondary,no,475,yes,no,30,may,3.83,2,-1,0,unknown,no,0
7726,27,technician,married,secondary,no,7102,yes,no,30,may,2.35,9,-1,0,unknown,no,0
7727,24,admin.,single,secondary,no,1235,yes,yes,30,may,1.27,3,-1,0,unknown,no,0
7728,35,technician,divorced,secondary,no,5724,yes,no,30,may,11.52,10,-1,0,unknown,yes,1
7729,52,admin.,married,primary,no,321,yes,no,30,may,2.35,4,-1,0,unknown,no,0
7730,45,blue-collar,married,secondary,no,159,yes,yes,30,may,4.18,2,-1,0,unknown,no,0
7731,29,services,married,secondary,no,-443,yes,no,30,may,3.97,3,-1,0,unknown,no,0
7732,34,technician,divorced,secondary,no,1451,yes,no,30,may,18.28,15,-1,0,unknown,yes,1
7733,24,technician,single,secondary,no,278,yes,no,30,may,1.85,1,-1,0,unknown,no,0
7734,41,admin.,married,secondary,no,-111,yes,no,30,may,1.4,3,-1,0,unknown,no,0
7735,37,management,single,tertiary,no,614,yes,no,30,may,6.18,2,-1,0,unknown,no,0
7736,51,management,divorced,tertiary,no,1267,yes,no,30,may,4.23,2,-1,0,unknown,no,0
7737,37,technician,single,secondary,no,786,yes,no,30,may,1.72,2,-1,0,unknown,no,0
7738,51,management,married,tertiary,no,307,yes,no,30,may,3.43,2,-1,0,unknown,no,0
7739,29,self-employed,single,tertiary,no,121,yes,no,30,may,25.0,2,-1,0,unknown,yes,1
7740,35,blue-collar,married,secondary,no,535,yes,no,30,may,4.42,3,-1,0,unknown,no,0
7741,44,technician,married,secondary,no,858,no,no,30,may,9.45,2,-1,0,unknown,no,0
7742,27,blue-collar,married,secondary,no,1341,yes,yes,30,may,4.23,2,-1,0,unknown,no,0
7744,32,services,married,secondary,no,-34,yes,no,30,may,20.6,2,-1,0,unknown,yes,1
7745,51,housemaid,married,tertiary,no,3122,yes,no,30,may,0.55,2,-1,0,unknown,no,0
7746,44,technician,married,secondary,no,561,yes,no,30,may,10.22,2,-1,0,unknown,no,0
7747,45,blue-collar,married,primary,no,676,yes,no,30,may,2.6,4,-1,0,unknown,no,0
7749,57,technician,married,secondary,no,0,yes,yes,30,may,3.33,2,-1,0,unknown,no,0
7750,46,technician,married,secondary,no,49,yes,no,30,may,1.6,3,-1,0,unknown,no,0
7751,36,blue-collar,married,secondary,no,740,yes,no,30,may,2.85,2,-1,0,unknown,no,0
7752,49,management,married,tertiary,no,1216,yes,yes,30,may,4.07,2,-1,0,unknown,no,0
7753,42,blue-collar,married,primary,no,188,yes,no,30,may,0.88,5,-1,0,unknown,no,0
7754,51,management,married,secondary,no,614,yes,yes,30,may,1.52,2,-1,0,unknown,no,0
7755,35,blue-collar,married,primary,no,361,yes,no,30,may,3.08,3,-1,0,unknown,no,0
7756,49,management,divorced,tertiary,no,-2049,yes,no,30,may,2.82,3,-1,0,unknown,no,0
7757,47,blue-collar,married,secondary,no,1794,yes,yes,30,may,8.58,2,-1,0,unknown,no,0
7758,27,services,single,tertiary,no,3021,yes,no,30,may,6.47,7,-1,0,unknown,no,0
7759,43,blue-collar,married,primary,no,6614,no,no,30,may,3.2,4,-1,0,unknown,no,0
7760,52,admin.,married,primary,no,2255,yes,no,30,may,2.97,2,-1,0,unknown,no,0
7761,32,management,divorced,tertiary,no,1589,yes,no,30,may,7.03,9,-1,0,unknown,no,0
7762,29,services,divorced,secondary,no,590,yes,no,30,may,1.27,2,-1,0,unknown,no,0
7763,50,unemployed,married,secondary,no,3674,yes,no,30,may,14.77,3,-1,0,unknown,yes,1
7764,29,self-employed,single,tertiary,no,579,no,no,30,may,4.93,2,-1,0,unknown,no,0
7765,39,unemployed,single,secondary,no,356,yes,no,30,may,7.7,2,-1,0,unknown,no,0
7766,51,blue-collar,married,secondary,no,1374,yes,no,30,may,6.3,1,-1,0,unknown,no,0
7767,35,blue-collar,married,secondary,no,698,yes,yes,30,may,22.38,3,-1,0,unknown,yes,1
7768,32,admin.,divorced,tertiary,no,-127,yes,no,30,may,4.8,4,-1,0,unknown,no,0
7769,39,management,married,tertiary,no,564,yes,no,30,may,2.27,2,-1,0,unknown,no,0
7770,43,management,single,tertiary,no,690,yes,no,30,may,0.97,1,-1,0,unknown,no,0
7771,38,management,married,tertiary,no,2548,yes,no,30,may,1.0,1,-1,0,unknown,no,0
7772,45,management,married,tertiary,no,2022,no,no,30,may,5.67,1,-1,0,unknown,no,0
7773,43,admin.,divorced,secondary,no,729,yes,no,30,may,11.13,2,-1,0,unknown,no,0
7774,52,management,married,tertiary,no,1065,yes,yes,30,may,2.65,1,-1,0,unknown,no,0
7775,40,admin.,single,secondary,no,2002,yes,no,30,may,1.88,1,-1,0,unknown,no,0
7776,35,student,single,secondary,no,2960,yes,no,30,may,2.05,2,-1,0,unknown,no,0
7777,44,blue-collar,married,secondary,no,3224,yes,no,30,may,5.1,1,-1,0,unknown,no,0
7778,42,admin.,divorced,secondary,no,435,yes,no,30,may,2.47,1,-1,0,unknown,no,0
7779,29,blue-collar,married,primary,no,200,yes,no,30,may,5.37,2,-1,0,unknown,no,0
7780,51,technician,divorced,secondary,no,468,yes,no,30,may,7.92,4,-1,0,unknown,no,0
7781,41,housemaid,married,tertiary,no,783,yes,no,30,may,2.17,2,-1,0,unknown,no,0
7783,42,technician,divorced,secondary,no,3043,yes,yes,30,may,3.73,5,-1,0,unknown,no,0
7784,45,services,single,secondary,no,482,yes,yes,30,may,10.62,2,-1,0,unknown,no,0
7785,42,technician,married,secondary,no,4791,yes,no,30,may,1.47,2,-1,0,unknown,no,0
7786,53,management,married,tertiary,no,-601,yes,no,30,may,8.48,2,-1,0,unknown,no,0
7788,35,management,single,tertiary,no,0,yes,no,30,may,2.45,1,-1,0,unknown,no,0
7789,32,admin.,divorced,secondary,no,-19,yes,no,30,may,1.62,2,-1,0,unknown,no,0
7790,35,management,divorced,tertiary,no,3254,no,no,30,may,5.62,3,-1,0,unknown,no,0
7791,46,blue-collar,married,primary,no,-287,yes,no,30,may,1.88,3,-1,0,unknown,no,0
7792,48,services,married,secondary,no,7019,yes,no,30,may,7.75,3,-1,0,unknown,no,0
7793,31,technician,divorced,secondary,no,646,yes,no,30,may,4.9,3,-1,0,unknown,no,0
